"DRIVERSTANDINGSID","RACEID","DRIVERID","POINTS","POSITION","POSITIONTEXT","WINS","YEAR","ROUND","NAME","DRIVERREF","FINAL","DRIVER_POSITION_BEFORE_RACE","DRIVER_POINTS_BEFORE_RACE","POSITION_POINTS_BEFORE_RACE","POINTS_OF_LOWER_POSITION","POINTS_OF_LOWER_POSITION_BEFORE_RACE","DELTA_POINTS_TO_LOWER_POSITION","DELTA_POINTS_TO_LOWER_POSITION_BEFORE_RACE","CHANGE_DELTA_BEFORE_AND_AFTER_RACE"
54372,644,235,0,20,"20",0,1970,2,"Spanish Grand Prix","ickx","N",14,0,0,0,0,0,0,0
54371,644,358,0,16,"16",0,1970,2,"Spanish Grand Prix","rindt","N",13,0,0,0,0,0,0,0
54370,644,293,0,15,"15",0,1970,2,"Spanish Grand Prix","charlton","N",12,0,0,0,0,0,0,0
54369,644,362,0,14,"14",0,1970,2,"Spanish Grand Prix","klerk","N",11,0,0,0,0,0,0,0
54368,644,346,0,13,"13",0,1970,2,"Spanish Grand Prix","siffert","N",10,0,0,0,0,0,0,0
54367,644,345,0,12,"12",0,1970,2,"Spanish Grand Prix","rodriguez","N",9,0,0,0,0,0,0,0
54364,644,289,4,6,"6",0,1970,2,"Spanish Grand Prix","hill","N",6,1,1,3,0,1,1,0
54363,644,357,2,9,"9",0,1970,2,"Spanish Grand Prix","miles","N",5,2,0,0,0,2,0,2
54362,644,306,3,7,"7",0,1970,2,"Spanish Grand Prix","beltoise","N",4,3,0,2,0,1,0,1
54359,644,356,9,2,"2",1,1970,2,"Spanish Grand Prix","jack_brabham","N",1,9,6,6,4,3,2,1
54409,645,238,0,13,"13",0,1970,3,"Monaco Grand Prix","peterson","N",2,33,0,0,0,0,0,0
54408,645,339,0,26,"26",0,1970,3,"Monaco Grand Prix","roig","N",25,0,0,,0,,0,
54407,645,333,0,25,"25",0,1970,3,"Monaco Grand Prix","adamich","N",24,0,0,0,,0,,
54406,645,278,0,20,"20",0,1970,3,"Monaco Grand Prix","amon","N",19,0,0,0,0,0,0,0
54405,645,262,0,22,"22",0,1970,3,"Monaco Grand Prix","oliver","N",22,0,0,0,0,0,0,0
54403,645,207,4,8,"8",0,1970,3,"Monaco Grand Prix","mario_andretti","N",5,4,2,3,2,1,0,1
54397,645,235,0,23,"23",0,1970,3,"Monaco Grand Prix","ickx","N",20,0,0,0,0,0,0,0
54391,645,340,0,15,"15",0,1970,3,"Monaco Grand Prix","love","N",11,0,0,0,0,0,0,0
54388,645,357,2,11,"11",0,1970,3,"Monaco Grand Prix","miles","N",9,2,0,1,0,1,0,1
54385,645,304,9,4,"4",0,1970,3,"Monaco Grand Prix","hulme","N",3,6,6,6,4,3,2,1
54437,646,321,0,27,"27",0,1970,4,"Belgian Grand Prix","bell","N",43,0,0,0,0,0,0,0
54434,646,339,0,28,"28",0,1970,4,"Belgian Grand Prix","roig","N",26,0,0,,0,,0,
54431,646,262,0,24,"24",0,1970,4,"Belgian Grand Prix","oliver","N",22,0,0,0,0,0,0,0
54428,646,361,0,23,"23",0,1970,4,"Belgian Grand Prix","courage","N",21,0,0,0,0,0,0,0
54425,646,352,0,25,"25",0,1970,4,"Belgian Grand Prix","eaton","N",24,0,0,0,0,0,0,0
54422,646,358,9,4,"4",1,1970,4,"Belgian Grand Prix","rindt","N",3,9,9,9,6,0,3,-3
54419,646,346,0,16,"16",0,1970,4,"Belgian Grand Prix","siffert","N",14,0,0,0,0,0,0,0
54413,646,306,7,6,"6",0,1970,4,"Belgian Grand Prix","beltoise","N",9,3,6,6,4,1,2,-1
54467,647,327,0,26,"26",0,1970,5,"Dutch Grand Prix","cevert","N",3,26,0,0,0,0,0,0
54464,647,363,3,13,"13",0,1970,5,"Dutch Grand Prix","giunti","N",12,3,2,3,2,0,0,0
54461,647,333,0,28,"28",0,1970,5,"Dutch Grand Prix","adamich","N",26,0,0,0,,0,,
54456,647,361,0,24,"24",0,1970,5,"Dutch Grand Prix","courage","N",23,0,0,0,0,0,0,0
54453,647,352,0,27,"27",0,1970,5,"Dutch Grand Prix","eaton","N",25,0,0,0,0,0,0,0
54450,647,358,18,2,"2",2,1970,5,"Dutch Grand Prix","rindt","N",4,9,13,15,10,3,3,0
54445,647,340,0,21,"21",0,1970,5,"Dutch Grand Prix","love","N",19,0,0,0,0,0,0,0
54442,647,357,2,15,"15",0,1970,5,"Dutch Grand Prix","miles","N",14,2,2,2,0,0,2,-2
54502,648,320,0,31,"31",0,1970,6,"French Grand Prix","gethin","N",30,0,0,0,0,0,0,0
54499,648,321,0,30,"30",0,1970,6,"French Grand Prix","bell","N",29,0,0,0,0,0,0,0
54496,648,339,0,33,"33",0,1970,6,"French Grand Prix","roig","N",32,0,0,0,0,0,0,0
54493,648,262,0,28,"28",0,1970,6,"French Grand Prix","oliver","N",25,0,0,0,0,0,0,0
54487,648,352,0,25,"25",0,1970,6,"French Grand Prix","eaton","N",27,0,0,0,0,0,0,0
54482,648,362,0,24,"24",0,1970,6,"French Grand Prix","klerk","N",22,0,0,0,0,0,0,0
54479,648,340,0,22,"22",0,1970,6,"French Grand Prix","love","N",21,0,0,0,0,0,0,0
54476,648,357,2,15,"15",0,1970,6,"French Grand Prix","miles","N",15,2,2,2,2,0,0,0
54473,648,304,12,5,"5",0,1970,6,"French Grand Prix","hulme","N",5,9,9,10,9,2,0,2
54531,649,238,0,21,"21",0,1970,7,"British Grand Prix","peterson","N",21,0,0,0,0,0,0,0
54528,649,278,14,5,"5",0,1970,7,"British Grand Prix","amon","N",4,12,12,10,10,4,2,2
54522,649,359,2,17,"17",0,1970,7,"British Grand Prix","gavin","N",17,2,2,1,1,1,1,0
54516,649,362,0,25,"25",0,1970,7,"British Grand Prix","klerk","N",24,0,0,0,0,0,0,0
54513,649,340,0,24,"24",0,1970,7,"British Grand Prix","love","N",22,0,0,0,0,0,0,0
54510,649,357,2,15,"15",0,1970,7,"British Grand Prix","miles","N",15,2,2,2,2,0,0,0
54571,650,320,0,33,"33",0,1970,8,"German Grand Prix","gethin","N",33,0,0,0,0,0,0,0
54568,650,321,0,32,"32",0,1970,8,"German Grand Prix","bell","N",32,0,0,0,0,0,0,0
54565,650,339,0,35,"35",0,1970,8,"German Grand Prix","roig","N",35,0,0,0,,0,,
54563,650,278,14,5,"5",0,1970,8,"German Grand Prix","amon","N",5,14,14,10,10,4,4,0
54557,650,359,2,18,"18",0,1970,8,"German Grand Prix","gavin","N",17,2,1,1,1,1,0,1
54554,650,235,10,7,"7",0,1970,8,"German Grand Prix","ickx","N",12,4,9,9,7,1,2,-1
54551,650,362,0,25,"25",0,1970,8,"German Grand Prix","klerk","N",25,0,0,0,0,0,0,0
54548,650,340,0,24,"24",0,1970,8,"German Grand Prix","love","N",24,0,0,0,0,0,0,0
54546,650,289,7,10,"10",0,1970,8,"German Grand Prix","hill","N",9,7,6,6,6,1,0,1
29863,17,18,95,1,"1",6,2009,17,"Abu Dhabi Grand Prix","button","Y",1,89,89,84,74,11,15,-4
29870,17,7,2,19,"19",0,2009,17,"Abu Dhabi Grand Prix","bourdais","Y",18,2,0,0,0,2,0,2
29873,17,21,8,15,"15",0,2009,17,"Abu Dhabi Grand Prix","fisichella","Y",15,8,8,6,5,2,3,-1
29876,17,9,17,14,"14",0,2009,17,"Abu Dhabi Grand Prix","kubica","Y",13,17,15,8,8,9,7,2
29879,17,12,0,21,"21",0,2009,17,"Abu Dhabi Grand Prix","piquet_jr","Y",20,0,0,0,0,0,0,0
29882,17,1,49,5,"5",2,2009,17,"Abu Dhabi Grand Prix","hamilton","Y",5,49,49,48,48,1,1,0
29886,17,24,0,22,"22",0,2009,17,"Abu Dhabi Grand Prix","liuzzi","Y",22,0,0,0,0,0,0,0
54614,651,365,0,38,"38",0,1970,9,"Austrian Grand Prix","hahne","N",37,0,0,,0,,0,
54608,651,320,0,26,"26",0,1970,9,"Austrian Grand Prix","gethin","N",33,0,0,0,0,0,0,0
54602,651,339,0,36,"36",0,1970,9,"Austrian Grand Prix","roig","N",35,0,0,0,0,0,0,0
54601,651,333,0,29,"29",0,1970,9,"Austrian Grand Prix","adamich","N",31,0,0,0,0,0,0,0
54600,651,278,14,6,"6",0,1970,9,"Austrian Grand Prix","amon","N",5,14,10,13,10,1,0,1
54599,651,262,2,18,"18",0,1970,9,"Austrian Grand Prix","oliver","N",30,0,2,2,1,0,1,-1
54598,651,243,8,10,"10",0,1970,9,"Austrian Grand Prix","stommelen","N",14,4,7,8,6,0,1,-1
54597,651,207,4,14,"14",0,1970,9,"Austrian Grand Prix","mario_andretti","N",13,4,4,3,3,1,1,0
54595,651,360,6,13,"13",0,1970,9,"Austrian Grand Prix","mclaren","N",11,6,4,4,4,2,0,2
54594,651,359,2,19,"19",0,1970,9,"Austrian Grand Prix","gavin","N",18,2,1,1,1,1,0,1
54593,651,352,0,27,"27",0,1970,9,"Austrian Grand Prix","eaton","N",26,0,0,0,0,0,0,0
54592,651,341,1,20,"20",0,1970,9,"Austrian Grand Prix","surtees","N",19,1,1,1,0,0,1,-1
54590,651,358,45,1,"1",5,1970,9,"Austrian Grand Prix","rindt","N",1,45,45,25,25,20,20,0
54589,651,293,0,30,"30",0,1970,9,"Austrian Grand Prix","charlton","N",27,0,0,0,0,0,0,0
54588,651,362,0,28,"28",0,1970,9,"Austrian Grand Prix","klerk","N",25,0,0,0,0,0,0,0
54587,651,346,0,23,"23",0,1970,9,"Austrian Grand Prix","siffert","N",22,0,0,0,0,0,0,0
54585,651,340,0,25,"25",0,1970,9,"Austrian Grand Prix","love","N",24,0,0,0,0,0,0,0
54583,651,289,7,12,"12",0,1970,9,"Austrian Grand Prix","hill","N",10,7,6,6,4,1,2,-1
54580,651,328,19,5,"5",1,1970,9,"Austrian Grand Prix","stewart","N",4,19,14,14,10,5,4,1
54655,652,330,0,40,"40",0,1970,10,"Italian Grand Prix","galli","N",28,0,0,,0,,0,
54653,652,314,0,33,"33",0,1970,10,"Italian Grand Prix","schenken","N",34,0,0,0,0,0,0,0
54650,652,224,3,16,"16",0,1970,10,"Italian Grand Prix","emerson_fittipaldi","N",16,3,3,2,2,1,1,0
54647,652,364,1,22,"22",0,1970,10,"Italian Grand Prix","gurney","N",21,1,0,0,0,1,0,1
54641,652,238,0,24,"24",0,1970,10,"Italian Grand Prix","peterson","N",24,0,0,0,0,0,0,0
54638,652,278,14,7,"7",0,1970,10,"Italian Grand Prix","amon","N",6,14,13,14,12,0,1,-1
54632,652,359,2,19,"19",0,1970,10,"Italian Grand Prix","gavin","N",19,2,2,1,1,1,1,0
54629,652,235,19,6,"6",1,1970,10,"Italian Grand Prix","ickx","N",4,19,14,14,13,5,1,4
54624,652,345,13,9,"9",1,1970,10,"Italian Grand Prix","rodriguez","N",7,13,10,10,8,3,2,1
54621,652,289,7,12,"12",0,1970,10,"Italian Grand Prix","hill","N",12,7,7,6,6,1,1,0
54618,652,328,25,2,"2",1,1970,10,"Italian Grand Prix","stewart","N",5,19,25,25,20,0,5,-5
54695,653,330,0,40,"40",0,1970,11,"Canadian Grand Prix","galli","N",40,0,0,,,,,
54686,653,320,1,22,"22",0,1970,11,"Canadian Grand Prix","gethin","N",27,0,1,1,0,0,1,-1
54683,653,321,0,34,"34",0,1970,11,"Canadian Grand Prix","bell","N",34,0,0,0,0,0,0,0
54680,653,339,0,36,"36",0,1970,11,"Canadian Grand Prix","roig","N",36,0,0,0,0,0,0,0
54677,653,262,2,19,"19",0,1970,11,"Canadian Grand Prix","oliver","N",18,2,2,2,1,0,1,-1
54668,653,358,45,1,"1",5,1970,11,"Canadian Grand Prix","rindt","N",1,45,45,28,25,17,20,-3
54663,653,340,0,27,"27",0,1970,11,"Canadian Grand Prix","love","N",26,0,0,0,0,0,0,0
54657,653,304,23,6,"6",0,1970,11,"Canadian Grand Prix","hulme","N",4,23,19,18,14,5,5,0
54736,654,317,4,16,"16",0,1970,12,"United States Grand Prix","wisell","N",12,9,3,3,3,1,0,1
54733,654,314,0,35,"35",0,1970,12,"United States Grand Prix","schenken","N",33,0,0,0,0,0,0,0
54730,654,224,12,10,"10",1,1970,12,"United States Grand Prix","emerson_fittipaldi","N",16,3,10,10,8,2,2,0
54727,654,364,1,24,"24",0,1970,12,"United States Grand Prix","gurney","N",23,1,0,1,0,0,0,0
54723,654,321,1,25,"25",0,1970,12,"United States Grand Prix","bell","N",34,0,0,0,0,1,0,1
54714,654,361,0,33,"33",0,1970,12,"United States Grand Prix","courage","N",31,0,0,0,0,0,0,0
54707,654,293,0,32,"32",0,1970,12,"United States Grand Prix","charlton","N",30,0,0,0,0,0,0,0
54704,654,345,22,7,"7",1,1970,12,"United States Grand Prix","rodriguez","N",8,16,18,20,16,2,2,0
54701,654,289,7,13,"13",0,1970,12,"United States Grand Prix","hill","N",12,7,6,6,4,1,2,-1
54698,654,328,25,4,"4",1,1970,12,"United States Grand Prix","stewart","N",4,25,25,25,25,0,0,0
54778,655,330,0,43,"43",0,1970,13,"Mexican Grand Prix","galli","Y",43,0,0,,,,,
54775,655,365,0,41,"41",0,1970,13,"Mexican Grand Prix","hahne","Y",41,0,0,0,0,0,0,0
54772,655,351,0,37,"37",0,1970,13,"Mexican Grand Prix","moser","Y",37,0,0,0,0,0,0,0
54769,655,320,1,23,"23",0,1970,13,"Mexican Grand Prix","gethin","Y",23,1,1,1,1,0,0,0
54761,655,278,23,8,"8",0,1970,13,"Mexican Grand Prix","amon","Y",8,20,20,16,14,7,6,1
54755,655,359,2,21,"21",0,1970,13,"Mexican Grand Prix","gavin","Y",21,2,2,1,1,1,1,0
54752,655,235,40,2,"2",3,1970,13,"Mexican Grand Prix","ickx","Y",2,31,31,33,27,7,4,3
54749,655,362,0,31,"31",0,1970,13,"Mexican Grand Prix","klerk","Y",31,0,0,0,0,0,0,0
54746,655,340,0,29,"29",0,1970,13,"Mexican Grand Prix","love","Y",29,0,0,0,0,0,0,0
52888,656,235,0,17,"17",0,1969,1,"South African Grand Prix","ickx","N",2,40,3,0,3,0,0,0
52885,656,356,0,14,"14",0,1969,1,"South African Grand Prix","jack_brabham","N",6,25,6,0,4,0,2,-2
52882,656,341,0,11,"11",0,1969,1,"South African Grand Prix","surtees","N",18,3,10,0,8,0,2,-2
52878,656,262,0,7,"7",0,1969,1,"South African Grand Prix","oliver","N",20,2,23,0,23,0,0,0
52875,656,346,3,4,"4",0,1969,1,"South African Grand Prix","siffert","N",26,0,27,2,25,1,2,-1
52872,656,328,9,1,"1",1,1969,1,"South African Grand Prix","stewart","N",5,25,45,6,40,3,5,-2
55745,601,197,6,13,"13",0,1974,12,"Austrian Grand Prix","jarier","N",12,6,5,5,4,1,1,0
55742,601,231,8,12,"12",0,1974,12,"Austrian Grand Prix","hunt","N",14,4,6,6,5,2,1,1
55739,601,222,41,2,"2",2,1974,12,"Austrian Grand Prix","scheckter","N",2,41,41,38,38,3,3,0
55727,601,199,23,5,"5",2,1974,12,"Austrian Grand Prix","reutemann","N",6,14,22,22,14,1,8,-7
55721,601,304,18,7,"7",1,1974,12,"Austrian Grand Prix","hulme","N",7,12,12,12,12,6,0,6
55835,602,243,0,42,"42",0,1974,13,"Italian Grand Prix","stommelen","N",46,0,0,0,0,0,0,0
55832,602,256,0,57,"57",0,1974,13,"Italian Grand Prix","perkins","N",56,0,0,0,0,0,0,0
55095,615,307,0,21,"21",0,1973,11,"German Grand Prix","ganley","N",21,0,0,0,0,0,0,0
55093,615,197,0,33,"33",0,1973,11,"German Grand Prix","jarier","N",30,0,0,0,0,0,0,0
55091,615,232,6,10,"10",0,1973,11,"German Grand Prix","merzario","N",10,6,6,5,5,1,1,0
55088,615,290,3,15,"15",0,1973,11,"German Grand Prix","wilson_fittipaldi","N",16,1,1,2,1,1,0,1
55087,615,304,23,6,"6",1,1973,11,"German Grand Prix","hulme","N",6,23,23,12,8,11,15,-4
55086,615,235,12,7,"7",0,1973,11,"German Grand Prix","ickx","N",9,8,8,8,8,4,0,4
55085,615,328,60,1,"1",5,1973,11,"German Grand Prix","stewart","N",1,51,51,45,41,15,10,5
55084,615,327,45,2,"2",0,1973,11,"German Grand Prix","cevert","N",3,39,41,42,39,3,2,1
55160,616,336,0,40,"40",0,1973,12,"Austrian Grand Prix","mcrae","N",40,0,0,,,,,
55159,616,335,0,37,"37",0,1973,12,"Austrian Grand Prix","williamson","N",37,0,0,0,0,0,0,0
55158,616,200,0,22,"22",0,1973,12,"Austrian Grand Prix","mass","N",22,0,0,0,0,0,0,0
55157,616,187,0,35,"35",0,1973,12,"Austrian Grand Prix","watson","N",35,0,0,0,0,0,0,0
55156,616,313,0,31,"31",0,1973,12,"Austrian Grand Prix","opel","N",31,0,0,0,0,0,0,0
55155,616,317,0,38,"38",0,1973,12,"Austrian Grand Prix","wisell","N",38,0,0,0,0,0,0,0
55153,616,231,8,9,"9",0,1973,12,"Austrian Grand Prix","hunt","N",9,8,8,7,6,1,2,-1
55150,616,280,0,25,"25",0,1973,12,"Austrian Grand Prix","pescarolo","N",24,0,0,0,0,0,0,0
55147,616,334,0,36,"36",0,1973,12,"Austrian Grand Prix","pretorius","N",36,0,0,0,0,0,0,0
55141,616,330,0,27,"27",0,1973,12,"Austrian Grand Prix","galli","N",27,0,0,0,0,0,0,0
55138,616,199,11,8,"8",0,1973,12,"Austrian Grand Prix","reutemann","N",8,8,8,8,8,3,0,3
55132,616,329,0,20,"20",0,1973,12,"Austrian Grand Prix","beuttler","N",20,0,0,0,0,0,0,0
55126,616,235,12,7,"7",0,1973,12,"Austrian Grand Prix","ickx","N",7,12,12,11,8,1,4,-3
55200,617,336,0,40,"40",0,1973,13,"Italian Grand Prix","mcrae","N",40,0,0,,,,,
55197,617,187,0,35,"35",0,1973,13,"Italian Grand Prix","watson","N",35,0,0,0,0,0,0,0
55194,617,259,0,28,"28",0,1973,13,"Italian Grand Prix","purley","N",32,0,0,0,0,0,0,0
55191,617,289,0,26,"26",0,1973,13,"Italian Grand Prix","hill","N",26,0,0,0,0,0,0,0
55189,617,293,0,39,"39",0,1973,13,"Italian Grand Prix","charlton","N",39,0,0,0,0,0,0,0
55183,617,332,5,13,"13",0,1973,13,"Italian Grand Prix","follmer","N",13,5,5,3,3,2,2,0
55180,617,250,7,10,"10",0,1973,13,"Italian Grand Prix","pace","N",10,7,7,6,6,1,1,0
55177,617,182,2,16,"16",0,1973,13,"Italian Grand Prix","lauda","N",16,2,2,2,2,0,0,0
55174,617,306,6,12,"12",0,1973,13,"Italian Grand Prix","beltoise","N",12,6,6,5,5,1,1,0
55171,617,232,6,11,"11",0,1973,13,"Italian Grand Prix","merzario","N",11,6,6,6,6,0,0,0
55168,617,290,3,15,"15",0,1973,13,"Italian Grand Prix","wilson_fittipaldi","N",15,3,3,2,2,1,1,0
55165,617,328,69,1,"1",5,1973,13,"Italian Grand Prix","stewart","N",1,66,66,48,45,21,21,0
55238,618,200,0,24,"24",0,1973,14,"Canadian Grand Prix","mass","N",23,0,0,0,0,0,0,0
55235,618,317,0,39,"39",0,1973,14,"Canadian Grand Prix","wisell","N",38,0,0,0,0,0,0,0
55232,618,278,1,21,"21",0,1973,14,"Canadian Grand Prix","amon","N",19,1,0,0,0,1,0,1
55229,618,293,0,40,"40",0,1973,14,"Canadian Grand Prix","charlton","N",39,0,0,0,,0,,
55223,618,332,5,13,"13",0,1973,14,"Canadian Grand Prix","follmer","N",13,5,5,4,3,1,2,-1
55218,618,199,12,7,"7",0,1973,14,"Canadian Grand Prix","reutemann","N",7,12,12,12,12,0,0,0
55215,618,307,1,19,"19",0,1973,14,"Canadian Grand Prix","ganley","N",22,0,1,1,0,0,1,-1
55212,618,329,0,23,"23",0,1973,14,"Canadian Grand Prix","beuttler","N",20,0,0,0,0,0,0,0
55206,618,235,12,8,"8",0,1973,14,"Canadian Grand Prix","ickx","N",8,12,12,9,8,3,4,-1
55203,618,224,54,2,"2",3,1973,14,"Canadian Grand Prix","emerson_fittipaldi","N",2,48,48,47,47,7,1,6
55284,619,243,0,30,"30",0,1973,15,"United States Grand Prix","stommelen","Y",30,0,0,0,0,0,0,0
55277,619,317,0,39,"39",0,1973,15,"United States Grand Prix","wisell","Y",39,0,0,0,0,0,0,0
55271,619,293,0,40,"40",0,1973,15,"United States Grand Prix","charlton","Y",40,0,0,0,0,0,0,0
55267,619,222,0,29,"29",0,1973,15,"United States Grand Prix","scheckter","Y",29,0,0,0,0,0,0,0
55261,619,305,0,22,"22",0,1973,15,"United States Grand Prix","hailwood","Y",22,0,0,0,0,0,0,0
55251,619,223,2,18,"18",0,1973,15,"United States Grand Prix","regazzoni","Y",18,2,2,1,1,1,1,0
55248,619,235,12,9,"9",0,1973,15,"United States Grand Prix","ickx","Y",8,12,9,9,8,3,1,2
55245,619,224,55,2,"2",3,1973,15,"United States Grand Prix","emerson_fittipaldi","Y",2,54,54,52,47,3,7,-4
53951,620,320,0,19,"19",0,1972,1,"Argentine Grand Prix","gethin","N",41,0,1,0,1,0,0,0
53948,620,207,0,16,"16",0,1972,1,"Argentine Grand Prix","mario_andretti","N",25,0,3,0,2,0,1,-1
53945,620,327,0,13,"13",0,1972,1,"Argentine Grand Prix","cevert","N",4,47,5,0,4,0,1,-1
53939,620,199,0,7,"7",0,1972,1,"Argentine Grand Prix","reutemann","N",7,16,16,0,14,0,2,-2
53978,621,250,0,21,"21",0,1972,2,"South African Grand Prix","pace","N",11,7,0,0,,0,,
53975,621,338,0,17,"17",0,1972,2,"South African Grand Prix","walker","N",,,0,0,0,0,0,0
53971,621,289,1,10,"10",0,1972,2,"South African Grand Prix","hill","N",18,0,0,0,0,1,0,1
53968,621,309,4,5,"5",0,1972,2,"South African Grand Prix","revson","N",15,0,2,3,1,1,1,0
53965,621,224,6,3,"3",0,1972,2,"South African Grand Prix","emerson_fittipaldi","N",12,0,4,4,3,2,1,1
53961,621,280,0,13,"13",0,1972,2,"South African Grand Prix","pescarolo","N",8,0,0,0,0,0,0,0
53958,621,314,2,9,"9",0,1972,2,"South African Grand Prix","schenken","N",5,2,0,1,0,1,0,1
53955,621,304,15,1,"1",1,1972,2,"South African Grand Prix","hulme","N",2,6,9,9,6,6,3,3
54007,622,306,0,27,"27",0,1972,3,"Spanish Grand Prix","beltoise","N",25,0,0,0,0,0,0,0
54001,622,339,0,28,"28",0,1972,3,"Spanish Grand Prix","roig","N",26,0,0,0,,0,,
53998,622,333,3,8,"8",0,1972,3,"Spanish Grand Prix","adamich","N",23,0,3,3,2,0,1,-1
53995,622,317,0,24,"24",0,1972,3,"Spanish Grand Prix","wisell","N",22,0,0,0,0,0,0,0
53992,622,182,0,13,"13",0,1972,3,"Spanish Grand Prix","lauda","N",11,0,0,0,0,0,0,0
53987,622,238,3,9,"9",0,1972,3,"Spanish Grand Prix","peterson","N",8,3,2,2,1,1,1,0
53985,622,223,7,5,"5",0,1972,3,"Spanish Grand Prix","regazzoni","N",6,3,4,6,3,1,1,0
53984,622,235,10,3,"3",0,1972,3,"Spanish Grand Prix","ickx","N",4,4,6,9,4,1,2,-1
54042,623,312,2,12,"12",0,1972,4,"Monaco Grand Prix","redman","N",24,0,1,1,0,1,1,0
54041,623,329,0,25,"25",0,1972,4,"Monaco Grand Prix","beuttler","N",29,0,0,0,0,0,0,0
54039,623,293,0,31,"31",0,1972,4,"Monaco Grand Prix","charlton","N",30,0,0,,0,,0,
54038,623,305,0,29,"29",0,1972,4,"Monaco Grand Prix","hailwood","N",26,0,0,0,0,0,0,0
54037,623,306,9,5,"5",1,1972,4,"Monaco Grand Prix","beltoise","N",27,0,7,7,6,2,1,1
54036,623,250,1,15,"15",0,1972,4,"Monaco Grand Prix","pace","N",12,1,0,0,0,1,0,1
54035,623,340,0,26,"26",0,1972,4,"Monaco Grand Prix","love","N",23,0,0,0,0,0,0,0
54034,623,243,0,24,"24",0,1972,4,"Monaco Grand Prix","stommelen","N",21,0,0,0,0,0,0,0
54033,623,338,0,21,"21",0,1972,4,"Monaco Grand Prix","walker","N",17,0,0,0,0,0,0,0
54032,623,278,1,14,"14",0,1972,4,"Monaco Grand Prix","amon","N",22,0,0,1,0,0,0,0
54030,623,320,0,28,"28",0,1972,4,"Monaco Grand Prix","gethin","N",25,0,0,0,0,0,0,0
54029,623,289,1,13,"13",0,1972,4,"Monaco Grand Prix","hill","N",11,1,0,1,0,0,0,0
54027,623,207,3,9,"9",0,1972,4,"Monaco Grand Prix","mario_andretti","N",7,3,3,3,2,0,1,-1
54026,623,309,6,7,"7",0,1972,4,"Monaco Grand Prix","revson","N",6,6,3,3,3,3,0,3
54025,623,317,0,27,"27",0,1972,4,"Monaco Grand Prix","wisell","N",24,0,0,0,0,0,0,0
54014,623,235,16,2,"2",0,1972,4,"Monaco Grand Prix","ickx","N",3,10,15,15,10,1,5,-4
54074,624,330,0,30,"30",0,1972,5,"Belgian Grand Prix","galli","N",27,0,0,0,0,0,0,0
54071,624,290,0,18,"18",0,1972,5,"Belgian Grand Prix","wilson_fittipaldi","N",16,0,0,0,0,0,0,0
54069,624,305,3,11,"11",0,1972,5,"Belgian Grand Prix","hailwood","N",29,0,2,3,2,0,0,0
54060,624,289,1,17,"17",0,1972,5,"Belgian Grand Prix","hill","N",13,1,0,0,0,1,0,1
54057,624,309,6,8,"8",0,1972,5,"Belgian Grand Prix","revson","N",7,6,3,3,3,3,0,3
54054,624,224,28,1,"1",2,1972,5,"Belgian Grand Prix","emerson_fittipaldi","N",1,19,19,19,16,9,3,6
54051,624,307,0,21,"21",0,1972,5,"Belgian Grand Prix","ganley","N",23,0,0,0,0,0,0,0
54045,624,235,16,3,"3",0,1972,5,"Belgian Grand Prix","ickx","N",2,16,15,12,12,4,3,1
54107,625,221,0,31,"31",0,1972,6,"French Grand Prix","depailler","N",9,14,0,0,0,0,0,0
54105,625,312,2,16,"16",0,1972,6,"French Grand Prix","redman","N",15,2,2,1,1,1,1,0
54099,625,250,3,14,"14",0,1972,6,"French Grand Prix","pace","N",13,3,2,2,2,1,0,1
54096,625,338,0,24,"24",0,1972,6,"French Grand Prix","walker","N",24,0,0,0,0,0,0,0
54093,625,320,0,30,"30",0,1972,6,"French Grand Prix","gethin","N",29,0,0,0,0,0,0,0
54090,625,207,3,13,"13",0,1972,6,"French Grand Prix","mario_andretti","N",10,3,3,3,2,0,1,-1
54085,625,182,0,19,"19",0,1972,6,"French Grand Prix","lauda","N",19,0,0,0,0,0,0,0
54082,625,280,0,23,"23",0,1972,6,"French Grand Prix","pescarolo","N",23,0,0,0,0,0,0,0
54079,625,314,2,15,"15",0,1972,6,"French Grand Prix","schenken","N",14,2,2,2,2,0,0,0
54138,626,312,2,16,"16",0,1972,7,"British Grand Prix","redman","N",16,2,2,1,1,1,1,0
54135,626,293,0,35,"35",0,1972,7,"British Grand Prix","charlton","N",33,0,0,,0,,0,
54132,626,250,3,14,"14",0,1972,7,"British Grand Prix","pace","N",14,3,3,2,2,1,1,0
54130,626,243,0,26,"26",0,1972,7,"British Grand Prix","stommelen","N",25,0,0,0,0,0,0,0
54127,626,339,0,34,"34",0,1972,7,"British Grand Prix","roig","N",32,0,0,0,0,0,0,0
54124,626,333,3,12,"12",0,1972,7,"British Grand Prix","adamich","N",12,3,3,3,3,0,0,0
54118,626,182,0,21,"21",0,1972,7,"British Grand Prix","lauda","N",19,0,0,0,0,0,0,0
54115,626,280,0,24,"24",0,1972,7,"British Grand Prix","pescarolo","N",23,0,0,0,0,0,0,0
54177,627,262,0,33,"33",0,1972,8,"German Grand Prix","oliver","N",33,0,0,0,0,0,0,0
54169,627,305,4,11,"11",0,1972,8,"German Grand Prix","hailwood","N",11,4,4,4,3,0,1,-1
54166,627,340,0,29,"29",0,1972,8,"German Grand Prix","love","N",29,0,0,0,0,0,0,0
