"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","YEAR","NAME","WEATHER_WET","CIRCUITREF","circuitId","circuit","country","lat","lng","alt","code","forename","surname","nationality"
27,15,4,"1:16.191",197,4,"9",9,1,2008,"German Grand Prix","N","hockenheimring",10,"Hockenheimring","Germany",49.3278,8.56583,"103","TRU","Jarno","Trulli","Italian"
28,1,1,"1:20.899",213,1,"5",5,1,2008,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","HAM","Lewis","Hamilton","British"
28,5,2,"1:21.140",209,2,"1",1,1,2008,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","KOV","Heikki","Kovalainen","Finnish"
28,13,3,"1:21.191",225,3,"17",17,5,2008,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","MAS","Felipe","Massa","Brazilian"
28,9,4,"1:21.281",216,4,"8",8,1,2008,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","KUB","Robert","Kubica","Polish"
29,13,1,"1:38.989",229,1,"1",1,1,2008,"European Grand Prix","N","valencia",12,"Valencia Street Circuit","Spain",39.4589,-0.331667,"4","MAS","Felipe","Massa","Brazilian"
29,1,2,"1:39.199",230,2,"2",2,1,2008,"European Grand Prix","N","valencia",12,"Valencia Street Circuit","Spain",39.4589,-0.331667,"4","HAM","Lewis","Hamilton","British"
29,9,3,"1:39.392",231,3,"3",3,1,2008,"European Grand Prix","N","valencia",12,"Valencia Street Circuit","Spain",39.4589,-0.331667,"4","KUB","Robert","Kubica","Polish"
29,8,4,"1:39.488",246,4,"\N",18,5,2008,"European Grand Prix","N","valencia",12,"Valencia Street Circuit","Spain",39.4589,-0.331667,"4","RAI","Kimi","Räikkönen","Finnish"
30,1,1,"1:47.338",251,1,"3",3,1,2008,"Belgian Grand Prix","Y","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","HAM","Lewis","Hamilton","British"
30,13,2,"1:47.678",249,2,"1",1,1,2008,"Belgian Grand Prix","Y","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","MAS","Felipe","Massa","Brazilian"
30,5,3,"1:47.815",258,3,"10",10,6,2008,"Belgian Grand Prix","Y","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","KOV","Heikki","Kovalainen","Finnish"
30,8,4,"1:47.992",266,4,"18",18,20,2008,"Belgian Grand Prix","Y","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","RAI","Kimi","Räikkönen","Finnish"
31,20,1,"1:37.555",269,1,"1",1,1,2008,"Italian Grand Prix","Y","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","VET","Sebastian","Vettel","German"
31,5,2,"1:37.631",270,2,"2",2,1,2008,"Italian Grand Prix","Y","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","KOV","Heikki","Kovalainen","Finnish"
31,17,3,"1:38.117",276,3,"8",8,1,2008,"Italian Grand Prix","Y","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","WEB","Mark","Webber","Australian"
31,7,4,"1:38.445",286,4,"18",18,11,2008,"Italian Grand Prix","Y","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","BOU","Sébastien","Bourdais","French"
32,13,1,"1:44.801",301,1,"13",13,1,2008,"Singapore Grand Prix","N","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","MAS","Felipe","Massa","Brazilian"
32,1,2,"1:45.465",291,2,"3",3,1,2008,"Singapore Grand Prix","N","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","HAM","Lewis","Hamilton","British"
32,8,3,"1:45.617",303,3,"15",15,3,2008,"Singapore Grand Prix","N","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","RAI","Kimi","Räikkönen","Finnish"
32,9,4,"1:45.779",299,4,"11",11,1,2008,"Singapore Grand Prix","N","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","KUB","Robert","Kubica","Polish"
33,1,1,"1:18.404",320,1,"12",12,1,2008,"Japanese Grand Prix","N","fuji",16,"Fuji Speedway","Japan",35.3717,138.927,"583","HAM","Lewis","Hamilton","British"
33,8,2,"1:18.644",311,2,"3",3,1,2008,"Japanese Grand Prix","N","fuji",16,"Fuji Speedway","Japan",35.3717,138.927,"583","RAI","Kimi","Räikkönen","Finnish"
33,5,3,"1:18.821",325,3,"\N",17,5,2008,"Japanese Grand Prix","N","fuji",16,"Fuji Speedway","Japan",35.3717,138.927,"583","KOV","Heikki","Kovalainen","Finnish"
33,4,4,"1:18.852",309,4,"1",1,1,2008,"Japanese Grand Prix","N","fuji",16,"Fuji Speedway","Japan",35.3717,138.927,"583","ALO","Fernando","Alonso","Spanish"
34,1,1,"1:36.303",329,1,"1",1,1,2008,"Chinese Grand Prix","N","shanghai",17,"Shanghai International Circuit","China",31.3389,121.22,"5","HAM","Lewis","Hamilton","British"
34,8,2,"1:36.645",331,2,"3",3,1,2008,"Chinese Grand Prix","N","shanghai",17,"Shanghai International Circuit","China",31.3389,121.22,"5","RAI","Kimi","Räikkönen","Finnish"
34,13,3,"1:36.889",330,3,"2",2,1,2008,"Chinese Grand Prix","N","shanghai",17,"Shanghai International Circuit","China",31.3389,121.22,"5","MAS","Felipe","Massa","Brazilian"
