"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","YEAR","NAME","WEATHER_WET","CIRCUITREF","circuitId","circuit","country","lat","lng","alt","code","forename","surname","nationality","qual_gap","won_race","race_21"
973,1,1,79.149,23459,1,"1",1,1,2017,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","HAM","Lewis","Hamilton","British",-0.289999999999992,1,0
974,822,3,72.223,23482,3,"4",4,1,2017,"Monaco Grand Prix","N","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","BOT","Valtteri","Bottas","Finnish",-0.272999999999996,0,0
974,20,2,72.221,23479,2,"1",1,1,2017,"Monaco Grand Prix","N","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","VET","Sebastian","Vettel","German",-0.274999999999991,1,0
974,8,1,72.178,23480,1,"2",2,1,2017,"Monaco Grand Prix","N","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","RAI","Kimi","Räikkönen","Finnish",-0.317999999999998,0,0
975,822,3,72.177,23500,3,"2",2,1,2017,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","BOT","Valtteri","Bottas","Finnish",-0.0749999999999886,0,0
975,20,2,71.789,23502,2,"4",4,1,2017,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","VET","Sebastian","Vettel","German",-0.462999999999994,0,0
975,1,1,71.459,23499,1,"1",1,1,2017,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","HAM","Lewis","Hamilton","British",-0.792999999999992,1,0
976,8,3,101.693,23532,3,"14",14,34,2017,"Azerbaijan Grand Prix","N","BAK",73,"Baku City Circuit","Azerbaijan",40.3725,49.8533,"-7","RAI","Kimi","Räikkönen","Finnish",-0.147999999999996,0,0
976,822,2,101.027,23520,2,"2",2,1,2017,"Azerbaijan Grand Prix","N","BAK",73,"Baku City Circuit","Azerbaijan",40.3725,49.8533,"-7","BOT","Valtteri","Bottas","Finnish",-0.814000000000021,0,0
976,1,1,100.593,23523,1,"5",5,1,2017,"Azerbaijan Grand Prix","N","BAK",73,"Baku City Circuit","Azerbaijan",40.3725,49.8533,"-7","HAM","Lewis","Hamilton","British",-1.24800000000002,0,0
977,8,4,64.779,23546,3,"5",5,1,2017,"Austrian Grand Prix","N","red_bull_ring",70,"Red Bull Ring","Austria",47.2197,14.7647,"678","RAI","Kimi","Räikkönen","Finnish",0,0,0
977,20,2,64.293,23543,2,"2",2,1,2017,"Austrian Grand Prix","N","red_bull_ring",70,"Red Bull Ring","Austria",47.2197,14.7647,"678","VET","Sebastian","Vettel","German",-0.48599999999999,0,0
977,822,1,64.251,23542,1,"1",1,1,2017,"Austrian Grand Prix","N","red_bull_ring",70,"Red Bull Ring","Austria",47.2197,14.7647,"678","BOT","Valtteri","Bottas","Finnish",-0.527999999999992,1,0
978,20,3,87.356,23568,3,"7",7,1,2017,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","VET","Sebastian","Vettel","German",-0.0200000000000102,0,0
978,8,2,87.147,23564,2,"3",3,1,2017,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","RAI","Kimi","Räikkönen","Finnish",-0.228999999999999,0,0
978,1,1,86.6,23562,1,"1",1,1,2017,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","HAM","Lewis","Hamilton","British",-0.77600000000001,1,0
979,822,3,76.53,23584,3,"3",3,1,2017,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","BOT","Valtteri","Bottas","Finnish",-0.176999999999992,0,0
979,8,2,76.444,23583,2,"2",2,1,2017,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","RAI","Kimi","Räikkönen","Finnish",-0.262999999999991,0,0
979,20,1,76.276,23582,1,"1",1,1,2017,"Hungarian Grand Prix","N","hungaroring",11,"Hungaroring","Hungary",47.5789,19.2486,"264","VET","Sebastian","Vettel","German",-0.430999999999997,1,0
980,822,3,103.094,23606,3,"5",5,1,2017,"Belgian Grand Prix","N","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","BOT","Valtteri","Bottas","Finnish",-0.176000000000016,0,0
980,20,2,102.795,23603,2,"2",2,1,2017,"Belgian Grand Prix","N","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","VET","Sebastian","Vettel","German",-0.475000000000023,0,0
980,1,1,102.553,23602,1,"1",1,1,2017,"Belgian Grand Prix","N","spa",13,"Circuit de Spa-Francorchamps","Belgium",50.4372,5.97139,"401","HAM","Lewis","Hamilton","British",-0.717000000000013,1,0
981,840,4,97.032,23628,2,"7",7,1,2017,"Italian Grand Prix","N","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","STR","Lance","Stroll","Canadian",0,0,0
981,1,1,95.554,23622,1,"1",1,1,2017,"Italian Grand Prix","N","monza",14,"Autodromo Nazionale di Monza","Italy",45.6156,9.28111,"162","HAM","Lewis","Hamilton","British",-1.47800000000001,1,0
982,817,3,99.84,23643,3,"2",2,1,2017,"Singapore Grand Prix","Y","marina_bay",15,"Marina Bay Street Circuit","Singapore",1.2914,103.864,"18","RIC","Daniel","Ricciardo","Australian",-0.228999999999985,0,0
984,817,4,88.306,23684,3,"3",3,1,2017,"Japanese Grand Prix","N","suzuka",22,"Suzuka Circuit","Japan",34.8431,136.541,"45","RIC","Daniel","Ricciardo","Australian",0,0,0
984,1,1,87.319,23682,1,"1",1,1,2017,"Japanese Grand Prix","N","suzuka",22,"Suzuka Circuit","Japan",34.8431,136.541,"45","HAM","Lewis","Hamilton","British",-0.987000000000009,1,0
985,822,3,93.568,23706,3,"5",5,1,2017,"United States Grand Prix","N","americas",69,"Circuit of the Americas","USA",30.1328,-97.6411,"161","BOT","Valtteri","Bottas","Finnish",-0.00899999999998613,0,0
985,20,2,93.347,23703,2,"2",2,1,2017,"United States Grand Prix","N","americas",69,"Circuit of the Americas","USA",30.1328,-97.6411,"161","VET","Sebastian","Vettel","German",-0.22999999999999,0,0
985,1,1,93.108,23702,1,"1",1,1,2017,"United States Grand Prix","N","americas",69,"Circuit of the Americas","USA",30.1328,-97.6411,"161","HAM","Lewis","Hamilton","British",-0.468999999999994,1,0
986,1,3,76.934,23730,3,"9",9,11,2017,"Mexican Grand Prix","N","rodriguez",32,"Autódromo Hermanos Rodríguez","Mexico",19.4042,-99.0907,"2227","HAM","Lewis","Hamilton","British",-0.0240000000000009,0,0
986,830,2,76.574,23722,2,"1",1,1,2017,"Mexican Grand Prix","N","rodriguez",32,"Autódromo Hermanos Rodríguez","Mexico",19.4042,-99.0907,"2227","VER","Max","Verstappen","Dutch",-0.384,1,0
986,20,1,76.488,23725,1,"4",4,1,2017,"Mexican Grand Prix","N","rodriguez",32,"Autódromo Hermanos Rodríguez","Mexico",19.4042,-99.0907,"2227","VET","Sebastian","Vettel","German",-0.469999999999999,0,0
987,8,3,68.538,23744,3,"3",3,1,2017,"Brazilian Grand Prix","N","interlagos",18,"Autódromo José Carlos Pace","Brazil",-23.7036,-46.6997,"785","RAI","Kimi","Räikkönen","Finnish",-0.387,0,0
987,20,2,68.36,23742,2,"1",1,1,2017,"Brazilian Grand Prix","N","interlagos",18,"Autódromo José Carlos Pace","Brazil",-23.7036,-46.6997,"785","VET","Sebastian","Vettel","German",-0.564999999999998,1,0
987,822,1,68.322,23743,1,"2",2,1,2017,"Brazilian Grand Prix","N","interlagos",18,"Autódromo José Carlos Pace","Brazil",-23.7036,-46.6997,"785","BOT","Valtteri","Bottas","Finnish",-0.602999999999994,0,0
988,20,3,96.777,23764,3,"3",3,1,2017,"Abu Dhabi Grand Prix","N","yas_marina",24,"Yas Marina Circuit","UAE",24.4672,54.6031,"3","VET","Sebastian","Vettel","German",-0.182000000000016,0,0
988,1,2,96.403,23763,2,"2",2,1,2017,"Abu Dhabi Grand Prix","N","yas_marina",24,"Yas Marina Circuit","UAE",24.4672,54.6031,"3","HAM","Lewis","Hamilton","British",-0.556000000000012,0,0
988,822,1,96.231,23762,1,"1",1,1,2017,"Abu Dhabi Grand Prix","N","yas_marina",24,"Yas Marina Circuit","UAE",24.4672,54.6031,"3","BOT","Valtteri","Bottas","Finnish",-0.728000000000009,1,0
989,20,3,81.838,23782,3,"1",1,1,2018,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","VET","Sebastian","Vettel","German",-0.041000000000011,1,0
989,8,2,81.828,23784,2,"3",3,1,2018,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","RAI","Kimi","Räikkönen","Finnish",-0.0510000000000019,0,0
989,1,1,81.164,23783,1,"2",2,1,2018,"Australian Grand Prix","N","albert_park",1,"Albert Park Grand Prix Circuit","Australia",-37.8497,144.968,"10","HAM","Lewis","Hamilton","British",-0.715000000000003,0,0
990,822,3,88.124,23803,3,"2",2,1,2018,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","BOT","Valtteri","Bottas","Finnish",-0.0960000000000036,0,0
